Date,Start,End,Event,Category,Price,Link,Registration Link,
"Tue, 30 September",6:00 PM,10:00 PM,Web3 Accountant Meet,Networking,Free,https://lu.ma/v0bgpljh,,
"Tue, 30 September",6:00 PM,10:00 PM,SuiFest Welcome Reception,Networking,Free,https://lu.ma/SuiFestLAVO,,
"Tue, 30 September",6:00 PM,12:00 AM,🇸🇬 New Friendship Tech Singapore,Networking,Free,https://luma.com/l8ebtr20,,
"Tue, 30 September",6:00 PM,10:30 PM,VC x Founder Happy Hour,Networking,Free,https://lu.ma/m4v4fj0n,,
"Tue, 30 September",6:00 PM,10:00 PM,deAI Summit 2025 | PundiAI x TGB,Conference/Summit,Free,https://lu.ma/uk0sjczv,,
"Tue, 30 September",6:00 PM,11:00 PM,All Time High. Rooftop & Golf connect,Networking,Free,https://luma.com/f1jkkqey,,
"Tue, 30 September",6:00 PM,9:00 PM,"Block ParTee by Cronos,AWS,ClickHouse & McKay Bros",Networking,Free,https://luma.com/lr8v3jij,,
"Tue, 30 September",6:00 PM,10:00 PM,"💥 HAPPY HOUR w/ Halborn, Casper, Beefy, nReach,💥",Networking,Free,https://luma.com/token2049sghappyhour,,
"Tue, 30 September",6:00 PM,9:00 PM,Crypto Media Mixer,Networking,Free,https://luma.com/droomdroom,,
"Tue, 30 September",6:00 PM,11:30 PM,RITE RACE by RITE.MOV - Day 2,Other,Free,https://luma.com/h5zw4n3m,,
"Tue, 30 September",6:00 PM,10:00 PM,Bulletproof Trader by Celestia & Bullet,Networking,Free,https://luma.com/bulletproof?tk=UfodWz,,
"Tue, 30 September",6:00 PM,11:00 PM,Confidential Onchain Finance Afterwork,Networking,Free,https://luma.com/zama-meetup-token2049-singap25,,
"Tue, 30 September",6:00 PM,11:00 PM,Immunefi Alpha Night,Networking,Free,https://luma.com/immunefi-token2049-sgp,,
"Tue, 30 September",6:00 PM,10:30 PM,Singapore Skyline: DeFi Meets Real Economy,Networking,Free,https://luma.com/31g50mzq,,
"Tue, 30 September",6:00 PM,11:00 PM,SportFi Voyage w/ Paribu & Chiliz,Networking,Free,https://luma.com/sportfivoyage,,
"Tue, 30 September",6:00 PM,10:30 PM,iExec x Otomato reception - Privacy & Automation,Party/Dinner,Free,https://luma.com/0zuqsyge,,
"Tue, 30 September",6:00 PM,9:00 PM,Institutional Tokenization Infrastructure,Networking,Free,https://luma.com/hruqnb5i,,
"Tue, 30 September",6:00 PM,10:00 PM,Forged on Ronin,Party/Dinner,Free,https://luma.com/zmaemqy5,,
"Tue, 30 September",6:00 PM,10:00 PM,Bridging Assets & Beats – RWA Deep Dive+Afterparty,Networking,Free,https://luma.com/985adn3e,,
"Tue, 30 September",6:00 PM,10:00 PM,Injective APAC Tour @Singapore,Networking,Free,https://luma.com/INJAPAC25-SG,,
"Tue, 30 September",6:00 PM,11:30 PM,The Dawn of Distributed AI - Hub x Aethir x Q42,Party/Dinner,Free,https://luma.com/hsshm7wy,,
"Tue, 30 September",6:00 PM,9:30 PM,DeFi Founders Club: Singapore,Networking,Free,https://luma.com/9blz50ur,,
"Tue, 30 September",6:30 PM,9:00 PM,Solidus Compliance Champions Social,Networking,Free,https://www.soliduslabs.com/event/compliance-champions-social-token2049-singapore-2025,,
"Tue, 30 September",6:30 PM,10:30 PM,Tokenization After Dark,Networking,Free,https://luma.com/poth4rng,,
"Tue, 30 September",6:30 PM,10:30 PM,Web3 Circle,Networking,Free,https://luma.com/768b5onk,,
"Tue, 30 September",6:30 PM,10:00 PM,Meet with Ternoa,Networking,Free,https://luma.com/nailzez6,,
"Tue, 30 September",6:30 PM,9:00 PM,Kaia Summit After Party,Party/Dinner,Free,https://luma.com/l7a92axe,,
"Tue, 30 September",6:30 PM,10:00 PM,Vaulted: The Institutional Mixer,Networking,Free,https://luma.com/mdm1a92b,,
"Tue, 30 September",7:00 PM,10:00 PM,Crypto Renaissance: Season of Opportunity,Networking,Free,https://luma.com/37slaqjb,,
"Tue, 30 September",7:00 PM,11:00 PM,Cardano Happy Hour,Networking,Free,https://luma.com/5ceh7zuh?tk=Tsia5h,,
"Tue, 30 September",7:00 PM,10:00 PM,RWAfi.RAW: Singapore 2025,Networking,Free,https://luma.com/mpbh8sp5,,
"Tue, 30 September",7:00 PM,10:00 PM,The Founder's Circle,Party/Dinner,Free,https://luma.com/p1589k3f,,
"Tue, 30 September",7:00 PM,9:00 PM,The KOL Inner Circle,Networking,Free,https://luma.com/rds5zruu,,
"Tue, 30 September",7:00 PM,10:00 PM,The Stablecon Salon: Singapore,Networking,Free,https://luma.com/stableconsalonSG,,
"Tue, 30 September",7:30 PM,11:00 PM,Circle 49: The Private Dinner,Party/Dinner,Free,https://lu.ma/ak4p00xy,,
"Tue, 30 September",8:00 PM,11:00 PM,ATH Night for Crypto & Institutional Executives,Party/Dinner,Free,https://lu.ma/ytn136vf,,
"Tue, 30 September",8:00 PM,12:00 AM,"Exclusive Private Dinner - Fund Managers, LPs, FoF",Party/Dinner,Free,https://luma.com/kpjslz6d,,
"Tue, 30 September",8:00 PM,12:00 AM,Proof of AI - Builder & Influencer Night,Party/Dinner,Free,https://luma.com/ProofAITOKEN2049SG,,
"Tue, 30 September",8:00 PM,11:00 PM,Ignition After Dark: Power Up Web3,Party/Dinner,Free,https://luma.com/9sco590p,,
"Tue, 30 September",8:00 PM,12:00 AM,Funders & Founders Night by Giakaa Capital (7 Nigh - Day 2,Party/Dinner,Free,https://luma.com/jw93wgj5,,
"Tue, 30 September",8:00 PM,10:00 PM,🍜 Hot pot with Crypto Nomads and Orb,Party/Dinner,Free,https://cryptonomads.org/TOKEN2049SideEvents2025/-hot-pot-with-crypto-nomads-and-orb-0cN,,
"Tue, 30 September",8:30 PM,11:00 PM,Rooftop Football Night! ⚽,Sport,Free,https://luma.com/a28n11uo,,
"Tue, 30 September",9:00 PM,2:00 AM,RavXY: Rave with EthXY,Party/Dinner,Free,https://luma.com/ravxy,,
"Tue, 30 September",9:00 PM,1:00 AM,Zircuit x Quantstamp x Caladan | Proof of Vibes,Networking,Free,https://luma.com/ProofofVibesatToken,,
"Tue, 30 September",9:00 PM,12:00 AM,TOKEN2049 Origins Hackathon (Day 1),Workshop/Hackathon,Free,https://www.asia.token2049.com/2049-origins,,
"Tue, 30 September",9:00 PM,11:30 PM,Snek Den,Networking,Free,https://luma.com/pk9isd87,,
"Tue, 30 September",10:00 PM,4:30 AM,Crypto Noir:After Party,Party/Dinner,Free,https://lu.ma/692jhb1g,,
"Tue, 30 September",10:00 PM,3:00 AM,"Kraken, EVG, Hedera & Certik Oceanic Night",Party/Dinner,Free,https://lu.ma/bgh15y2i,,
"Wed, 1 October",12:00 AM,12:00 AM,Ethereum Singapore Week - Day 3,Conference/Summit,Free,https://www.ethereum.sg/,,
"Wed, 1 October",12:00 AM,6:00 PM,Bingo Tech x OTC & On/Off-Ramp Leaders Night,Networking,Free,https://luma.com/n04y6t79,,
"Wed, 1 October",5:30 AM,8:30 AM,BetterX & CryptoKnights: Yacht Mixer  - Day 2,Networking,Free,https://luma.com/rb894yvp,,
"Wed, 1 October",7:00 AM,8:00 PM,Milken Asia Summit 2025 - Day 1,Conference/Summit,Free,https://web.cvent.com/event/e051b1be-009e-4a21-a87b-65ff82bd9e8c/summary,,
"Wed, 1 October",7:00 AM,8:00 AM,Workout with 'O Danny - Day 1,Sport,Free,https://forms.gle/tH3wog4gazk3e5dZ7,,
"Wed, 1 October",7:30 AM,6:00 PM,TOKEN2049 Singapore - Day 1,Conference/Summit,US$499,https://www.asia.token2049.com/tickets,,
"Wed, 1 October",7:30 AM,6:00 PM,Base Cafe - Day 1,Other,Free,https://luma.com/o3vex86h/,,
"Wed, 1 October",8:00 AM,10:00 AM,Zero-Dilution Breakfast,Networking,Free,https://lu.ma/4fglrp1c,,
"Wed, 1 October",8:00 AM,10:00 PM,All-Day Network State Co-Working & Evening Meetups - Day 1,Networking,US$20,https://lu.ma/draper-networkstate,,
"Wed, 1 October",8:00 AM,10:00 PM,Web3 Padel League Open,Networking,US$80-99,https://lu.ma/m3xwmps1,,
"Wed, 1 October",8:00 AM,12:00 PM,Oversubscribed Capital Institutional Breakfast 3,Networking,Free,https://lu.ma/ose6yi6a,,
"Wed, 1 October",8:00 AM,6:00 PM,CafeGM by Spacecoin & GSR & UOB Venture Day 1,Networking,Free,https://luma.com/CafeGM_Singapore_1_2025,,
"Wed, 1 October",8:00 AM,9:00 AM,SuiFest Run Club 4K Singapur🇸🇬,Sport,Free,https://luma.com/2predhli,,
"Wed, 1 October",8:00 AM,8:00 PM,Alephium Treasure Hunt // Find Fun in Singapore,Other,Free,https://luma.com/cl7qtnou,,
"Wed, 1 October",9:00 AM,11:00 AM,ONE OF US GAMES,Sport,Free,https://lu.ma/7m6nsjng,,
"Wed, 1 October",9:00 AM,6:00 PM,All That Matters 2025 - Day 3,Conference/Summit,US$599-1299,www.allthatmatters.asia,,
"Wed, 1 October",9:00 AM,5:00 PM,Agents Day,Networking,US$0-29,https://lu.ma/agentsday-singapore,,
"Wed, 1 October",9:00 AM,6:00 PM,Stark Cafe | Day 1,Other,Free,https://luma.com/StarkCafeDay1Singapore,,
"Wed, 1 October",9:00 AM,5:00 PM,Coinbase House - Day 1,Networking,Free,https://luma.com/cwm8ap13,,
"Wed, 1 October",9:00 AM,6:00 PM,Meta Earth Global - VIP Lounge - Day 1,Networking,Free,https://luma.com/1tph152r,,
"Wed, 1 October",10:00 AM,12:00 PM,Workshop: Future of Digital Money with CBDCs and S,Workshop/Hackathon,Free,https://lu.ma/4a5yn48b,,
"Wed, 1 October",10:00 AM,8:00 PM,Collably Network - Day 2,Networking,Free,https://t.me/collablynetworkeventbot,,
"Wed, 1 October",10:00 AM,5:00 PM,Secure your Project: Meet CredShields at Singapore - Day 1,Networking,Free,https://luma.com/m8jnjvo7,,
"Wed, 1 October",10:00 AM,12:00 PM,GM Singapore - Breakfast Networking with ZKcandy,Networking,Free,https://luma.com/w76f9qbv,,
"Wed, 1 October",10:30 AM,12:30 PM,Penn and Friends Meetup,Networking,Free,Invite Only,,
"Wed, 1 October",10:30 AM,1:00 PM,Executive Brunch: Future of Digital Assets,Networking,Free,https://luma.com/chainlink-hedera-utila,,
"Wed, 1 October",11:00 AM,5:00 PM,DNA House at TOKEN2049 - Day 1,Networking,Free,https://lu.ma/6p1tly6w,,
"Wed, 1 October",11:00 AM,2:30 PM,Founders & VCs Brunch and Lunch 🥐 🇸🇬,Networking,Free,https://lu.ma/1mee0im8,,
"Wed, 1 October",11:00 AM,10:00 PM,Fireblocks House - Day 1,Networking,Free,Invite Only,,
"Wed, 1 October",11:00 AM,2:00 PM,Stable Takes,Networking,Free,https://luma.com/5rpmp82s,,
"Wed, 1 October",11:00 AM,2:30 PM,ACI Confidential: Treehouse x ACI x Lido,Party/Dinner,Free,https://luma.com/vlt66s94,,
"Wed, 1 October",11:00 AM,1:30 PM,Suisterhood x Sui Foundation: Brunch & Leadership,Networking,Free,https://lu.ma/5fw5inbu,,
"Wed, 1 October",11:00 AM,2:00 PM,Hyperliquid Community Brunch,Party/Dinner,Free,https://luma.com/e35mi6m1,,
"Wed, 1 October",11:30 AM,2:30 PM,Tokenization Connect,Networking,Free,https://lu.ma/apanx9rq,,
"Wed, 1 October",11:30 AM,3:30 AM,BitMart CAFÉ Day 1,Networking,Free,https://luma.com/iyyf95ey,,
"Wed, 1 October",12:00 PM,3:00 PM,Treasury + TGE Strategy Lounge,Networking,Free,https://luma.com/wfyoxfdb,,
"Wed, 1 October",12:00 PM,2:00 PM,SynFutures & Friends VIP Lunch,Networking,Free,https://luma.com/synfviplunch,,
"Wed, 1 October",1:00 PM,8:00 PM,NextGen AI: Robotics & Agents cohosted with Google,Conference/Summit,Free,https://lu.ma/r3abj8zn,,
"Wed, 1 October",1:00 PM,10:00 PM,PayFi Summit,Conference/Summit,Free,https://lu.ma/6z717qxo,,
"Wed, 1 October",1:00 PM,1:45 PM,Panel: The Future of Stablecoins in Global Finance,Networking,Free,https://luma.com/ncavt6sa,,
"Wed, 1 October",2:00 PM,4:00 PM,Slothspepe Community,Networking,Free,https://lu.ma/lsdoo6qs,,
"Wed, 1 October",2:00 PM,5:00 PM,"SANDHOUSE: THE FUTURE, MADE COZY",Networking,Free,https://lu.ma/l5306k5w,,
"Wed, 1 October",2:00 PM,6:00 PM,Base Builder Showcase,Networking,Free,https://luma.com/i99y6e1v,,
"Wed, 1 October",2:00 PM,4:00 PM,Connect & Build: Networking Tea,Other,Free,https://luma.com/chainlink-hashkey-networking,,
"Wed, 1 October",2:00 PM,5:00 PM,AI X Infra:Building the Next Gen of Crypto Finance,Networking,Free,https://luma.com/fvdu2721,,
"Wed, 1 October",2:00 PM,5:30 PM,Venture Capital Network Investor High-Tea,Networking,Free,https://luma.com/w07e4nqx?locale=en-SG,,
"Wed, 1 October",2:00 PM,6:00 PM,Meet ❜embed in Singapore,Networking,Free,https://luma.com/j86gposp,,
"Wed, 1 October",2:15 PM,6:15 PM,Thought Leaders Summit,Conference/Summit,Free,https://luma.com/dysz8e7m,,
"Wed, 1 October",3:00 PM,8:00 PM,Proof Of Liquidity | LPs & Protocols & Curators,Networking,Free,https://lu.ma/5t1pyozf,,
"Wed, 1 October",3:00 PM,6:00 PM,AVALANCHE HAPPY HOUR,Networking,Free,https://luma.com/AvalancheXToken2049,,
"Wed, 1 October",3:00 PM,6:00 PM,Buidl and Bites,Networking,Free,https://luma.com/c48fvhss,,
"Wed, 1 October",3:00 PM,5:00 PM,SuperDeFi High Tea by OP x Morpho,Networking,Free,https://luma.com/SuperDeFiSG,,
"Wed, 1 October",3:00 PM,7:00 PM,Bitcoin Unlocked: BTCfi on Sui,Networking,Free,https://luma.com/tjp1ucb2,,
"Wed, 1 October",3:30 PM,7:00 PM,Cregis × Sumsub | Web3 Finance:  Future of Trust,Conference/Summit,Free,https://luma.com/1eb7zz1q,,
"Wed, 1 October",4:00 PM,6:00 PM,SMA Traders & Allocators: Allo by GenieAI Mixer,Networking,Free,https://lu.ma/665ufa03,,
"Wed, 1 October",4:00 PM,8:00 PM,Bittensor Conclave: Singapore 2025,Conference/Summit,Free,https://lu.ma/0a2ye5or,,
"Wed, 1 October",4:00 PM,5:00 PM,NEXUS Startup Competition - Day 1,Other,Free,https://www.asia.token2049.com/nexus-startup-competition,,
"Wed, 1 October",4:00 PM,9:00 PM,Codechella Sessions: ChatAndBuild x Open Sourced,Networking,Free,https://luma.com/8t2qsvph,,
"Wed, 1 October",4:00 PM,6:00 PM,Vaults Unlocked: Treehouse & Tastemakers,Other,Free,https://luma.com/zi5i2dza,,
"Wed, 1 October",4:00 PM,10:00 PM,Future Finance Lab,Networking,Free,https://luma.com/9d34re9u,,
"Wed, 1 October",4:30 PM,7:00 PM,"NEAR ""Fork That"" Happy Hour",Networking,Free,https://luma.com/neartoken,,
"Wed, 1 October",5:00 PM,8:00 PM,Aptos Sunset Sessions,Networking,Free,https://lu.ma/aptossunset,,
"Wed, 1 October",5:00 PM,8:00 PM,AI x Web3 Executive Summit,Conference/Summit,Free,https://tokenminds.co/events/token2049-2025,,
"Wed, 1 October",5:00 PM,8:00 PM,Proof of Build: Singapore Edition,Networking,Free,https://luma.com/q1hu52e1,,
"Wed, 1 October",5:00 PM,8:00 PM,Passey Presents: Getting You To FIRE,Networking,Free,https://lu.ma/9ijp42zc,,
"Wed, 1 October",5:00 PM,7:30 PM,Solana Convergence,Party/Dinner,Free,https://luma.com/moiwxu10,,
"Wed, 1 October",5:00 PM,8:00 PM,5v5 Football Cup,Sport,Free,https://luma.com/permaweb-cup,,
"Wed, 1 October",5:00 PM,8:00 PM,Google for HR: Mix & Mingle,Party/Dinner,Free,https://luma.com/s9avoh4k,,
"Wed, 1 October",6:00 PM,10:00 PM,Anti Capital Networking Night – Singapore Edition,Networking,Free,https://lu.ma/zgj3dape,,
"Wed, 1 October",6:00 PM,9:00 PM,Date With Blockchain - VCs Meet The Best Founders!,Conference/Summit,Free,https://datewithblockchain.com/events/token2049-singapore,,
"Wed, 1 October",6:00 PM,10:00 PM,“The Network Lights Up: Stablecoin In Action”,Party/Dinner,Free,https://lu.ma/wsya5q4l,,
"Wed, 1 October",6:00 PM,11:00 PM,AI x Data x Web3: Crypto Intelligence at Scale,Party/Dinner,Free,https://lu.ma/y9q7mwfu,,
"Wed, 1 October",6:00 PM,11:00 PM,SIMPLESWAP MOONSHOT CONNECTIONS,Networking,Free,https://lu.ma/dvjsbxxz,,
"Wed, 1 October",6:00 PM,8:30 PM,RWAs Get Real in Singapore,Networking,Free,https://luma.com/p2n5eure,,
"Wed, 1 October",6:00 PM,8:30 PM,Dinner at Six with NewCampus,Party/Dinner,Free,Invite Only,,
"Wed, 1 October",6:00 PM,11:30 PM,RITE RACE by RITE.MOV - Day 3,Other,Free,https://luma.com/h5zw4n3m,,
"Wed, 1 October",6:00 PM,10:00 PM,Non-fungible Singapore 2025: To Infinity & Beyond,Party/Dinner,Free,https://luma.com/n2osx5v2,,
"Wed, 1 October",6:00 PM,8:00 PM,Dogelonmars,Party/Dinner,Free,https://luma.com/uclg5u7k,,
"Wed, 1 October",6:00 PM,9:00 PM,"Private Gathering for Investors, Family Offices &",Party/Dinner,Free,https://luma.com/hjc6ezx2,,
"Wed, 1 October",6:00 PM,8:00 PM,Paravel.xyz Launch & Networking Drinks,Networking,Free,https://luma.com/de8u8h7m,,
"Wed, 1 October",6:00 PM,10:00 PM,Kaito Homecoming,Party/Dinner,Free,https://luma.com/k1xizi0w,,
"Wed, 1 October",6:00 PM,8:30 PM,The Path Forward: Tokenized Securities,Conference/Summit,Free,https://luma.com/s66gcs8w,,
"Wed, 1 October",6:00 PM,2:00 AM,Meta Crypto Oasis: DeFi 3.0 & DAT Night,Party/Dinner,Free,https://luma.com/ie0lufvu,,
"Wed, 1 October",6:00 PM,9:00 PM,"Puppies, Cocktails, Dinner, Darts and Raffle Prize",Party/Dinner,Free,https://luma.com/kg460thk,,
"Wed, 1 October",6:00 PM,9:00 PM,Chainlink Evening Exchange with GSR + UU Wallet,Networking,Free,https://luma.com/3kzqlnas,,
"Wed, 1 October",6:00 PM,9:00 PM,Solana & Sake Ecosystem Networking Mixer by Auros,Networking,Free,https://luma.com/sq4y5dgc,,
"Wed, 1 October",6:00 PM,11:00 PM,$MEME RECHARGE STATION By Memeland,Party/Dinner,Free,https://luma.com/k6kqofyk,,
"Wed, 1 October",6:00 PM,10:00 PM,Rad New World,Networking,Free,https://luma.com/q1cmf5ry,,
"Wed, 1 October",6:00 PM,10:00 PM,CoinRoutes X Grvt Exclusive Soirée Singa,Networking,Free,https://luma.com/w9ja0pbg,,
"Wed, 1 October",6:30 PM,10:30 PM,Token of Love Music Festival,Party/Dinner,Free,https://lu.ma/r8p246v8,,
"Wed, 1 October",6:30 PM,9:30 PM,Blockchain Institutional Mixer by Ripple & IR,Networking,Free,https://ripple-ir-hr-mixer.splashthat.com,,
"Wed, 1 October",6:30 PM,9:30 PM,Agents Unleashed: The Next Wave,Conference/Summit,Free,https://lu.ma/h0zgn96s,,
"Wed, 1 October",6:30 PM,11:30 PM,DePIN,Networking,Free,https://lu.ma/DePIN,,
"Wed, 1 October",6:30 PM,8:00 PM,Innovative 90mins-Networking-Ride on Wheels,Networking,US$50.6-53.9,https://www.eventbrite.com/e/innovative-90mins-networking-ride-on-wheels-for-post-token2049-tickets-1645918318999?aff=ebdsshother&utm_share_source=listing_android&sg=284785a4c3b5b47378ee83d7a8c01da445bb520bdec0d10602b4accb04d686dbb60ae759b6bc8c0a64fecc1fad11603ac8b137c7adcc0e86fe7ea893fbc41dfedc19262442ff327f4b366b1e95,,
"Wed, 1 October",6:30 PM,9:30 PM,Poolside Soirée @TOKEN2049 Singapore,Networking,Free,https://lu.ma/j77dahit,,
"Wed, 1 October",6:30 PM,9:30 PM,FameEX Yacht Night — Maybe You’re the One - Day 1,Party/Dinner,Free,https://luma.com/tk2kqh5s,,
"Wed, 1 October",6:30 PM,9:30 PM,Crypto Journalists Meetup by ACJR,Party/Dinner,Free,https://luma.com/acjr2025,,
"Wed, 1 October",6:30 PM,11:30 PM,All About That Base,Party/Dinner,Free,https://luma.com/m2dq0644,,
"Wed, 1 October",6:30 PM,9:00 PM,Solana DePIN Founders Dinner,Party/Dinner,Free,https://luma.com/mn0hy26l,,
"Wed, 1 October",7:00 PM,10:00 PM,Institutional Soirée @ TOKEN2049 w/ Halborn,Party/Dinner,Free,https://lu.ma/token2049institutionalsoiree,,
"Wed, 1 October",7:00 PM,11:00 PM,Cardano VIP After Hours with EMURGO and IOG,Networking,Free,https://lu.ma/ulgi0z6d,,
"Wed, 1 October",7:00 PM,11:00 PM,Zoomex | Tap the Future Night,Party/Dinner,Free,https://lu.ma/5bhzm5xz,,
"Wed, 1 October",7:00 PM,10:00 PM,Web3 Finance Dinner - 20 spots only,Party/Dinner,Free,https://luma.com/c6w0llsm,,
"Wed, 1 October",7:00 PM,10:30 PM,VIP Dinner by P2P.org,Networking,Free,https://luma.com/pg872u6t,,
"Wed, 1 October",7:00 PM,11:00 PM,DCG & Friends Karaoke,Party/Dinner,Free,https://luma.com/rnvouct5,,
"Wed, 1 October",7:00 PM,10:00 PM,"The Big Drop Ft. Boon, B3, FORTE",Networking,Free,https://luma.com/cjoe8wam,,
"Wed, 1 October",7:00 PM,11:00 PM,Mantle Mixer @ ArtScience Museum,Networking,Free,https://luma.com/vdb1nm9x,,
"Wed, 1 October",7:00 PM,10:00 PM,TOKEN2049 SAP Holders Evening w/ Audemars Piguet,Party/Dinner,Free,Invite Only,,
"Wed, 1 October",7:00 PM,12:00 AM,Stars in the Sky: Singapore Edition,Party/Dinner,Free,https://luma.com/starsintheskysg,,
"Wed, 1 October",7:00 PM,9:00 PM,The OTC Alpha Connect,Networking,Free,https://luma.com/70cahjme,,
"Wed, 1 October",7:00 PM,11:00 PM,"Speakeasy Social by Red Beard Ventures,",Party/Dinner,Free,https://luma.com/8gotq7qj,,
"Wed, 1 October",7:30 PM,1:00 AM,CoinUp - Four Years Forward,Party/Dinner,Free,https://luma.com/py5y9r37,,
"Wed, 1 October",7:30 PM,5:00 AM,Blockchain Culture Night | Singapore,Networking,Free,https://luma.com/vrf3tw2p,,
"Wed, 1 October",8:00 PM,3:30 AM,Algorhythm v2,Networking,Free,https://luma.com/algorhythm-v2,,
"Wed, 1 October",8:00 PM,1:00 AM,Aptos After Hours,Party/Dinner,Free,https://lu.ma/aptosafterhourssg,,
"Wed, 1 October",8:00 PM,11:00 PM,The Nomination: Official Nomina Launch Party,Party/Dinner,Free,https://luma.com/9cs13csg,,
"Wed, 1 October",8:00 PM,12:00 AM,"1MAX VIP Cocktail Night - Degens, VCs & Investors",Party/Dinner,Free,https://luma.com/zs8crrfe,,
"Wed, 1 October",8:00 PM,11:00 PM,MICHELIN x Opensea Dinner,Party/Dinner,Free,https://luma.com/je89ztlz,,
"Wed, 1 October",8:00 PM,12:00 AM,Funders & Founders Night by Giakaa Capital (7 Nigh - Day 3,Party/Dinner,Free,https://luma.com/jw93wgj5,,
"Wed, 1 October",8:00 PM,12:00 AM,Next-Level Trading · Infinite Lifestyle: UZX VIP N,Party/Dinner,Free,https://luma.com/cq8xkhmb,,
"Wed, 1 October",8:00 PM,10:30 PM,Skyline Drop @ Cé La Vi,Networking,Free,https://luma.com/k8cbn6wg,,
"Wed, 1 October",9:00 PM,12:00 AM,The Bitcoin Speakeasy | TOKEN2049,Party/Dinner,Free,https://lu.ma/z6zbz1rj,,
"Wed, 1 October",9:00 PM,2:00 AM,Wizards in Singapore,Party/Dinner,Free,https://luma.com/y22atp5e,,
"Wed, 1 October",10:00 PM,3:00 AM,CRYPTOZONIC ZOUK SG,Party/Dinner,US$0-20,https://luma.com/x0cnwvg6,,
"Thu, 2 October",12:00 AM,12:00 AM,Ethereum Singapore Week - Day 4,Conference/Summit,Free,https://www.ethereum.sg/,,
"Thu, 2 October",7:00 AM,8:00 PM,Milken Asia Summit 2025 - Day 2,Conference/Summit,Free,https://web.cvent.com/event/e051b1be-009e-4a21-a87b-65ff82bd9e8c/summary,,
"Thu, 2 October",7:00 AM,8:00 AM,Workout with 'O Danny - Day 2,Sport,Free,https://forms.gle/tH3wog4gazk3e5dZ7,,
"Thu, 2 October",7:30 AM,6:00 PM,TOKEN2049 Singapore - Day 2,Conference/Summit,US$499,https://www.asia.token2049.com/tickets,,
"Thu, 2 October",7:30 AM,8:30 AM,ONE OF US Run & Coffee - 02/10,Sport,Free,https://lu.ma/dxowe44i,,
"Thu, 2 October",7:30 AM,6:00 PM,Base Cafe - Day 2,Other,Free,https://luma.com/o3vex86h,,
"Thu, 2 October",7:30 AM,9:00 AM,AM Run & Workout w/ Bankless VC,Sport,Free,https://luma.com/0w07rkgf,,
"Thu, 2 October",7:30 AM,8:30 AM,Spicy 5K Run with Chiliz,Sport,Free,https://luma.com/xvou515v,,
"Thu, 2 October",8:00 AM,10:00 PM,All-Day Network State Co-Working & Evening Meetups - Day 2,Networking,US$20,https://lu.ma/draper-networkstate,,
"Thu, 2 October",8:00 AM,12:00 PM,Oversubscribed Capital Institutional VIP Breakfast,Networking,Free,https://lu.ma/726zdzcu,,
"Thu, 2 October",8:00 AM,10:00 AM,On-Chain Horizons: Founders x Funders,Networking,Free,https://luma.com/7enb9hl0,,
"Thu, 2 October",8:00 AM,6:00 PM,Cafe GM by Spacecoin & GSR & UOB Venture Day 2,Networking,Free,https://luma.com/CafeGM_Singapore_2_2025,,
"Thu, 2 October",8:30 AM,12:00 AM,AgileGTM PITCH STATION,Networking,Free,https://luma.com/leqw5840,,
"Thu, 2 October",8:30 AM,9:30 AM,Digital Asset Treasury Strategies Breakfast,Other,Free,https://luma.com/mohqux5a,,
"Thu, 2 October",9:00 AM,6:00 PM,Investor Forum Singapore,Networking,Free,https://app.vntr.vc/dl/6471c6/s/4ed487/r/gc0AKRuESbuGC2vz7p3Ksw?ref=6q0mxqasSxi2NA4l6uG.GA,,
"Thu, 2 October",9:00 AM,6:00 PM,Stablecoin Summit Singapore 2025,Conference/Summit,US$200,https://tickets.stablecoinsummit.com/,,
"Thu, 2 October",9:00 AM,12:00 PM,Back The Buidlers: Finding the Next Satoshi Token,Networking,Free,https://lu.ma/33p3mdwh,,
"Thu, 2 October",9:00 AM,6:00 PM,Hack Seasons Conference Singapore,Conference/Summit,Free,https://lu.ma/hack_sg,,
"Thu, 2 October",9:00 AM,11:00 AM,ONE OF US lift & Coffee - 02/10,Sport,Free,https://lu.ma/zug3ii92,,
"Thu, 2 October",9:00 AM,1:00 PM,The Pickleball Breakfast Club 🇸🇬,Sport,Free,https://lu.ma/25b93x6x,,
"Thu, 2 October",9:00 AM,1:00 PM,Web Proof of Resilience (Ice Immersion),Networking,Free,https://lu.ma/dca5aw96,,
"Thu, 2 October",9:00 AM,11:00 AM,OTC Dealmakers: Coffee & Capital (Singapore),Networking,Free,https://lu.ma/fthd3na8,,
"Thu, 2 October",9:00 AM,12:00 PM,dApp Founder Playbook: Building For Adoption,Other,Free,https://luma.com/ew7lp9s9,,
"Thu, 2 October",9:00 AM,12:00 PM,Breakfast w Utila|Chainalysis|Psalion|Definitive,Networking,Free,https://luma.com/f9srki0n,,
"Thu, 2 October",9:00 AM,6:00 PM,Stark Cafe | Day 2,Other,Free,https://luma.com/StarkCafeDay2Singapore,,
"Thu, 2 October",9:00 AM,11:00 AM,OTC Dealmakers: Coffee and Capital,Networking,Free,https://luma.com/fthd3na8,,
"Thu, 2 October",9:00 AM,11:00 AM,Padel with Kroll and  Winston & Strawn LLP,Sport,Free,https://view.kroll.com/PadelEventSG?utm_campaign=APAC_RA_RES_2509_EVT_Padel_Event_WS&utm_medium=email&utm_source=Eloqua,,
